age,workclass,fnlgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,salary
39,Gov,77516,Bachelors,13,Never-married,Adm-clerical,Other,White,Male,2174,0,40,United-States,<=50K
50,Without-pay,83311,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,13,United-States,<=50K
38,Private,215646,College,9,No spouse,Handlers-cleaners,Other,White,Male,0,0,40,United-States,<=50K
53,Private,234721,School,7,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,0,0,40,United-States,<=50K
28,Private,338409,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,Black,Female,0,0,40,Cuba,<=50K
37,Private,284582,Masters,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,United-States,<=50K
49,Private,160187,School,5,No spouse,Other-service,Other,Black,Female,0,0,16,Jamaica,<=50K
52,Without-pay,209642,College,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,>50K
31,Private,45781,Masters,14,Never-married,Prof-specialty,Other,White,Female,14084,0,50,United-States,>50K
42,Private,159449,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,5178,0,40,United-States,>50K
37,Private,280464,College,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,80,United-States,>50K
30,Gov,141297,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,40,India,>50K
23,Private,122272,Bachelors,13,Never-married,Adm-clerical,Other,White,Female,0,0,30,United-States,<=50K
32,Private,205019,Assoc,12,Never-married,Sales,Other,Black,Male,0,0,50,United-States,<=50K
40,Private,121772,Assoc,11,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,United-States,>50K
34,Private,245487,School,4,Married-civ-spouse,Transport-moving,Husband,Others,Male,0,0,45,Mexico,<=50K
25,Without-pay,176756,College,9,Never-married,Farming-fishing,Other,White,Male,0,0,35,United-States,<=50K
32,Private,186824,College,9,Never-married,Machine-op-inspct,Other,White,Male,0,0,40,United-States,<=50K
38,Private,28887,School,7,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,<=50K
43,Without-pay,292175,Masters,14,No spouse,Exec-managerial,Other,White,Female,0,0,45,United-States,>50K
40,Private,193524,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States,>50K
54,Private,302146,College,9,No spouse,Other-service,Other,Black,Female,0,0,20,United-States,<=50K
35,Federal-gov,76845,School,5,Married-civ-spouse,Farming-fishing,Husband,Black,Male,0,0,40,United-States,<=50K
43,Private,117037,School,7,Married-civ-spouse,Transport-moving,Husband,White,Male,0,2042,40,United-States,<=50K
59,Private,109015,College,9,No spouse,Tech-support,Other,White,Female,0,0,40,United-States,<=50K
56,Gov,216851,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,>50K
19,Private,168294,College,9,Never-married,Craft-repair,Other,White,Male,0,0,40,United-States,<=50K
54,Private,180211,College,10,Married-civ-spouse,Prof-speciality,Husband,Asian-Pac-Islander,Male,0,0,60,South,>50K
39,Private,367260,College,9,No spouse,Exec-managerial,Other,White,Male,0,0,80,United-States,<=50K
49,Private,193366,College,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
23,Gov,190709,Assoc,12,Never-married,Protective-serv,Other,White,Male,0,0,52,United-States,<=50K
20,Private,266015,College,10,Never-married,Sales,Other,Black,Male,0,0,44,United-States,<=50K
45,Private,386940,Bachelors,13,No spouse,Exec-managerial,Other,White,Male,0,1408,40,United-States,<=50K
30,Federal-gov,59951,College,10,Married-civ-spouse,Adm-clerical,Other,White,Male,0,0,40,United-States,<=50K
22,Gov,311512,College,10,Married-civ-spouse,Other-service,Husband,Black,Male,0,0,15,United-States,<=50K
48,Private,242406,School,7,Never-married,Machine-op-inspct,Other,White,Male,0,0,40,Puerto-Rico,<=50K
21,Private,197200,College,10,Never-married,Machine-op-inspct,Other,White,Male,0,0,40,United-States,<=50K
19,Private,544091,College,9,Married-AF-spouse,Adm-clerical,Wife,White,Female,0,0,25,United-States,<=50K
31,Private,84154,College,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,38,United-States,>50K
48,Without-pay,265477,Assoc,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K
31,Private,507875,School,5,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,43,United-States,<=50K
53,Without-pay,88506,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K
24,Private,172987,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,50,United-States,<=50K
49,Private,94638,College,9,No spouse,Adm-clerical,Other,White,Female,0,0,40,United-States,<=50K
25,Private,289980,College,9,Never-married,Handlers-cleaners,Other,White,Male,0,0,35,United-States,<=50K
